id_empleado,Nombre,Apellido,telefono,correo_electronico,cargo
1,Cecile,O'Hannigan,5087291164,cohannigan0@delicious.com,tester
2,Valina,Waind,3618428095,vwaind1@wikia.com,mecanico superior
3,Johnnie,Miles,9736694997,jmiles2@marriott.com,mecanico superior
4,Llywellyn,Cudihy,9345532924,lcudihy3@nyu.edu,mecanico superior
5,Natal,Persse,5161726344,npersse4@noaa.gov,tester
6,Bonita,Riglar,2691782690,briglar5@marriott.com,mecanico raso
7,Dagmar,Nore,2768116683,dnore6@shareasale.com,mecanico raso
8,Aurore,Cozby,5505296690,acozby7@ihg.com,mecanico raso
9,Heindrick,Madgin,9058649194,hmadgin8@census.gov,mecanico superior
10,Amelina,Frenzl,6346059321,afrenzl9@telegraph.co.uk,mecanico superior
11,Lew,Soars,4136824868,lsoarsa@disqus.com,mecanico superior
12,Shaylyn,Spurdon,7005971433,sspurdonb@nyu.edu,mecanico raso
13,Shaw,Shefton,7723570154,ssheftonc@blogs.com,mecanico superior
14,Kendra,Shadrack,3348835039,kshadrackd@xrea.com,mecanico raso
15,Salomi,Hyde,5579706271,shydee@drupal.org,tester
16,Stanislaus,Steabler,5793494118,ssteablerf@webmd.com,mecanico raso
17,Latashia,Whimp,4676762461,lwhimpg@usnews.com,mecanico superior
18,Vaughan,Britney,5226555026,vbritneyh@linkedin.com,tester
19,Rubetta,Shailer,7616497415,rshaileri@stanford.edu,mecanico raso
20,Federico,Campaigne,6799192297,fcampaignej@abc.net.au,mecanico raso
21,Nye,Feuell,2107068806,nfeuellk@1688.com,mecanico superior
22,Cami,Bhar,9467448955,cbharl@paginegialle.it,mecanico superior
23,Earl,McVicar,9299083044,emcvicarm@unc.edu,mecanico raso
24,Serena,Blanc,5083465214,sblancn@homestead.com,mecanico raso
25,Aymer,Marchent,5123539358,amarchento@ibm.com,mecanico raso
26,Jami,Latchmore,5177405134,jlatchmorep@uol.com.br,mecanico raso
27,Lorant,Lapping,6299422971,llappingq@hexun.com,mecanico raso
28,Salli,Worsfold,2506704559,sworsfoldr@stanford.edu,mecanico raso
29,Gnni,Kleinstub,2148276281,gkleinstubs@time.com,tester
30,Bentlee,Pearcey,5399642737,bpearceyt@spotify.com,mecanico superior
31,Gabbi,Lemmanbie,8461265330,glemmanbieu@yellowbook.com,mecanico raso
32,Adelind,Clavey,8862440378,aclaveyv@comcast.net,mecanico superior
33,Erna,Shelbourne,4782271190,eshelbournew@google.it,mecanico raso
34,Vladamir,Poulsum,3535143288,vpoulsumx@biblegateway.com,mecanico superior
35,Monte,Pendreigh,2634851073,mpendreighy@sourceforge.net,tester
36,Adele,Littlekit,5117448930,alittlekitz@marriott.com,tester
37,Lorita,Pinckard,4006865360,lpinckard10@bravesites.com,mecanico superior
38,Roosevelt,Rozenbaum,8438860691,rrozenbaum11@dailymail.co.uk,tester
39,Fanya,Ridolfi,1162820925,fridolfi12@edublogs.org,mecanico raso
40,Starr,Storey,5092524080,sstorey13@wufoo.com,tester
41,Kippy,Cardenosa,8228700074,kcardenosa14@edublogs.org,tester
42,Arlyne,Orgill,2229143267,aorgill15@spiegel.de,mecanico raso
43,Kipp,Pelling,5205996927,kpelling16@smugmug.com,mecanico raso
44,Rodge,Pantone,6136533199,rpantone17@china.com.cn,mecanico raso
45,Lenna,Beesley,9887283954,lbeesley18@china.com.cn,mecanico raso
46,Chelsae,Odom,5139037019,codom19@wikispaces.com,mecanico raso
47,Enriqueta,Capener,3837922212,ecapener1a@opera.com,mecanico raso
48,Ginger,Fransinelli,6017576774,gfransinelli1b@digg.com,tester
49,Yetta,Zanolli,5795838389,yzanolli1c@vk.com,mecanico raso
50,Elysee,Brigg,4683882313,ebrigg1d@dropbox.com,mecanico raso
51,Aland,Bletsor,9918932856,abletsor1e@cloudflare.com,mecanico superior
52,Abbott,Adanet,7206696825,aadanet1f@slideshare.net,tester
53,Rockey,Tunesi,2251233330,rtunesi1g@wunderground.com,mecanico superior
54,Fidelity,McCarry,7273708663,fmccarry1h@forbes.com,mecanico raso
55,Gregory,Kopisch,5782131648,gkopisch1i@wiley.com,mecanico superior
56,Tatiana,Souley,3136474932,tsouley1j@diigo.com,mecanico raso
57,Johnny,Cod,1038466082,jcod1k@pinterest.com,tester
58,Clemence,Toke,8442188167,ctoke1l@blogspot.com,mecanico superior
59,Augustine,Chippindall,6189889482,achippindall1m@bbc.co.uk,mecanico superior
60,Blair,Devorill,9055146793,bdevorill1n@elegantthemes.com,mecanico superior
61,Dorri,Liversedge,5413104304,dliversedge1o@hostgator.com,tester
62,Carolus,Sivyer,3487377947,csivyer1p@moonfruit.com,tester
63,Oralla,Woodgate,1456354618,owoodgate1q@pen.io,tester
64,Kathe,Heinel,8136423164,kheinel1r@t.co,mecanico raso
